origen,fin,desvianza_poisson,mae,rmse,razon_total,sesgo_medio,n_dias
2024-03-14,2024-03-20,1.6754,1.667,2.0269,0.9495,-0.1802,7
2024-03-21,2024-03-27,0.9508,1.3664,1.6127,0.9606,-0.1125,7
2024-03-28,2024-04-03,2.8284,1.9094,2.1646,1.8877,1.3949,7
2024-04-04,2024-04-10,2.8528,2.4608,2.6831,0.8778,-0.4714,7
2024-04-11,2024-04-17,0.6421,0.9525,1.2933,1.0784,0.2463,7
2024-04-18,2024-04-24,1.099,1.4841,2.0374,0.764,-0.9778,7
2024-04-25,2024-05-01,1.3426,1.5391,1.8362,1.1683,0.4569,7
2024-05-02,2024-05-08,0.9437,1.6669,2.0362,0.7194,-1.3228,7
2024-05-09,2024-05-15,1.3206,1.6619,2.157,0.8209,-0.7419,7
2024-05-16,2024-05-22,1.6148,1.635,2.1058,1.0266,0.0875,7
2024-05-23,2024-05-29,0.9922,1.4344,2.088,0.769,-1.0229,7
2024-05-30,2024-06-05,2.517,1.9719,2.368,1.0859,0.27,7
2024-06-06,2024-06-12,0.642,0.9544,1.2796,1.3265,0.8395,7
2024-06-13,2024-06-19,0.4125,0.9269,1.1518,0.89,-0.3928,7
2024-06-20,2024-06-26,2.6655,2.6781,3.3071,0.5817,-2.45,7
2024-06-27,2024-07-03,0.4689,1.0714,1.1904,0.9985,-0.005,7
2024-07-04,2024-07-10,0.3517,0.7287,0.954,1.1983,0.5665,7
2024-07-11,2024-07-17,1.6794,1.9394,2.9219,0.7254,-1.2944,7
2024-07-18,2024-07-24,1.9924,1.6054,2.3195,0.8616,-0.514,7
2024-07-25,2024-07-31,0.8805,1.4261,1.9665,0.7064,-1.4261,7
2024-08-01,2024-08-07,0.1852,0.5963,0.7564,1.0034,0.0118,7
2024-08-08,2024-08-14,1.2747,1.8822,2.2696,0.8304,-0.7026,7
2024-08-15,2024-08-21,3.0445,3.03,3.4291,0.7092,-1.4123,7
2024-08-22,2024-08-28,0.9607,1.3465,1.8211,0.8538,-0.5846,7
2024-08-29,2024-09-04,2.0637,1.9779,2.2474,1.4222,1.0254,7
2024-09-05,2024-09-11,1.2358,1.9322,2.2908,0.7098,-1.4096,7
2024-09-12,2024-09-18,1.9459,1.4517,1.8773,1.2098,0.5993,7
2024-09-19,2024-09-25,0.8926,1.6413,2.0448,0.7553,-1.1187,7
2024-09-26,2024-10-02,0.9522,1.4523,1.8253,0.9687,-0.1117,7
2024-10-03,2024-10-09,0.643,1.067,1.3796,0.9316,-0.2539,7
2024-10-10,2024-10-16,2.4604,2.7103,3.6471,0.5722,-2.5666,7
2024-10-17,2024-10-23,2.1783,2.2668,3.3463,0.8693,-0.5229,7
2024-10-24,2024-10-30,0.8614,1.4831,1.9124,0.7859,-0.9483,7
2024-10-31,2024-11-06,1.6305,1.7065,1.9125,1.2742,0.7443,7
2024-11-07,2024-11-13,0.4064,0.9468,1.1393,1.2831,0.7684,7
2024-11-14,2024-11-20,0.8596,1.5901,1.6838,0.9017,-0.3791,7
2024-11-21,2024-11-27,0.3981,0.9123,1.1404,0.937,-0.234,7
2024-11-28,2024-12-04,1.2779,1.6963,2.1655,0.9374,-0.2326,7
2024-12-05,2024-12-11,1.4019,1.766,2.6884,0.6966,-1.517,7
2024-12-12,2024-12-18,1.2044,1.7361,2.1328,0.9777,-0.0796,7
2024-12-19,2024-12-25,3.8332,3.5961,4.5293,0.5079,-3.1634,7
2024-12-26,2025-01-01,0.2307,0.6174,0.8511,1.1491,0.426,7
2025-01-02,2025-01-08,1.3674,1.6223,1.7247,1.1482,0.4234,7
2025-01-09,2025-01-15,1.777,1.5282,2.0221,1.5338,1.2201,7
2025-01-16,2025-01-22,1.4786,1.3344,1.8279,1.1133,0.3559,7
2025-01-23,2025-01-29,0.7254,1.3524,1.457,1.5299,1.2111,7
2025-01-30,2025-02-05,1.6159,1.4121,1.8966,1.2215,0.6328,7
