artefacto,qué respalda
tablas/01_serie_resumen.csv,Estadísticos de la serie de MUNICIPIO C (§1)
tablas/02_perfil_calendario.csv,Media por tipo de día y factor vs global (§3)
tablas/02b_autocorrelacion.csv,Autocorrelación a rezagos 1/7/14 sin el test (§5)
tablas/03_particiones.csv,"Bloques de entrenamiento, validación y prueba (§5)"
tablas/04_desarrollo_backtesting.csv,Métricas de los 5 modelos en validación interna (§7)
tablas/04b_folds_linea_base.csv,Métricas por corte de la línea base (§7)
tablas/04c_arbol_profundidad.csv,"Árbol sin podar vs árbol base: desvianza, profundidad, hojas (§7)"
tablas/05_importancias_arbol.csv,Importancia de variables del árbol base (§8)
tablas/06_evaluacion_test.csv,Métricas de los finalistas en el test (§9)
tablas/06b_desarrollo_vs_test.csv,Comparación desarrollo vs test (§9)
tablas/07_calibracion_mensual_test.csv,Total mensual observado vs predicho en test (§9)
figuras/fig1_serie.png,"Serie diaria, media móvil y tendencia (§2)"
figuras/fig2_perfil_calendario.png,Media por tipo de día (§3)
figuras/fig3_particion.png,Partición temporal (§5)
figuras/fig4_desarrollo_predicciones.png,Predicciones en el tramo final de desarrollo (§7)
figuras/fig4b_importancias_arbol.png,Importancia de variables del árbol base (§8)
figuras/fig5_test_predicciones.png,Observado vs finalistas en el test (§9)
figuras/fig6_calibracion_test.png,Calibración en el test (§9)
