columna,valor,registros,pct
Gravedad,LEVE,134706,59.95
Gravedad,SIN LESIONADOS,63173,28.12
Gravedad,GRAVE,23567,10.49
Gravedad,FATAL,3248,1.45
Tipo de Siniestro,COLISIÓN ENTRE VEHÍCULOS,146010,64.98
Tipo de Siniestro,CAÍDA,25942,11.55
Tipo de Siniestro,DESPISTE,25187,11.21
Tipo de Siniestro,ATROPELLO DE PEATÓN,12751,5.67
Tipo de Siniestro,ATROPELLO DE ANIMALES,7987,3.55
Tipo de Siniestro,COLISIÓN CON OBSTÁCULO EN CALZADA,6792,3.02
Tipo de Siniestro,SIN DATOS,23,0.01
Tipo de Siniestro,VUELCO,1,0.0
Tipo de Siniestro,COLISIÓN CON OBSTACULO EN CALZADA,1,0.0
