fecha,siniestros,día de la semana,grupo de calendario,media del grupo,lado,atípico global,atípico en su grupo,feriado más cercano,días hasta ese feriado
2021-10-22,42,viernes,viernes,26.11,por encima,True,False,Día de la Diversidad Cultural,-11
2022-01-16,4,domingo,domingo,16.12,por debajo,True,False,Día de los Niños,-10
2022-01-17,8,lunes,lunes,24.08,por debajo,False,True,Día de los Niños,-11
2023-05-06,38,sábado,sábado,20.49,por encima,False,True,Día de los Trabajadores,-5
2023-06-09,41,viernes,viernes,26.11,por encima,True,False,Natalicio de Artigas,10
2023-12-22,41,viernes,viernes,26.11,por encima,True,False,Día de la Familia,3
2024-05-10,43,viernes,viernes,26.11,por encima,True,True,Batalla de Las Piedras,8
2024-10-14,41,lunes,lunes,24.08,por encima,True,True,Día de la Diversidad Cultural,-2
2024-11-24,31,domingo,domingo,16.12,por encima,False,True,Día de los Difuntos,-22
2025-04-11,42,viernes,viernes,26.11,por encima,True,False,Semana de Turismo,3
2025-05-04,32,domingo,domingo,16.12,por encima,False,True,Día de los Trabajadores,-3
2025-05-11,29,domingo,domingo,16.12,por encima,False,True,Batalla de Las Piedras,7
2025-12-11,44,jueves,jueves,23.86,por encima,True,True,Día de la Familia,14
2025-12-22,40,lunes,lunes,24.08,por encima,False,True,Día de la Familia,3
