Departamento,siniestros,zonas,pct_siniestros,siniestros_por_zona
MONTEVIDEO,62427,1167,27.8,53.5
CANELONES,28972,2715,12.9,10.7
MALDONADO,21127,1446,9.4,14.6
COLONIA,12603,1443,5.6,8.7
PAYSANDU,12085,893,5.4,13.5
SALTO,10849,749,4.8,14.5
SORIANO,8712,841,3.9,10.4
SAN JOSE,8302,990,3.7,8.4
TACUAREMBO,8214,792,3.7,10.4
CERRO LARGO,7033,804,3.1,8.7
ROCHA,6472,1156,2.9,5.6
RIVERA,6083,679,2.7,9.0
FLORIDA,6063,1087,2.7,5.6
LAVALLEJA,5851,826,2.6,7.1
DURAZNO,5005,673,2.2,7.4
RIO NEGRO,4814,654,2.1,7.4
TREINTA Y TRES,3670,633,1.6,5.8
ARTIGAS,3619,578,1.6,6.3
FLORES,2793,418,1.2,6.7
