barrio,siniestros,dias_con_siniestro,pct_dias_con_siniestro,pct_del_total
UNION,1939,1157,63.4,4.9
CORDON,1694,1091,59.7,4.28
AGUADA,1204,870,47.6,3.04
CENTRO,1197,863,47.3,3.03
MERCADO MODELO Y BOLIVAR,1138,835,45.7,2.88
CERRO,1122,850,46.5,2.84
POCITOS,1081,788,43.2,2.73
MANGA TOLEDO CHICO,1043,764,41.8,2.64
BUCEO,1033,778,42.6,2.61
PRADO NUEVA SAVONA,1021,777,42.6,2.58
PQUE BATLLE VILLA DOLORES,997,746,40.9,2.52
CAPURRO BELLA VISTA,889,686,37.6,2.25
PEÑAROL LAVALLEJA,861,679,37.2,2.18
PASO DE LA ARENA,832,658,36.0,2.1
LA PALOMA TOMKINSON,800,637,34.9,2.02
PIEDRAS BLANCAS,772,623,34.1,1.95
VILLA GARCIA MANGA RURAL,766,627,34.3,1.94
LEZICA MELILLA,755,607,33.2,1.91
COLON CENTRO Y NOROESTE,698,583,31.9,1.76
MALVIN,691,573,31.4,1.75
TRES CRUCES,689,574,31.4,1.74
MAROÑAS PARQUE GUARANI,666,546,29.9,1.68
LA TEJA,662,556,30.4,1.67
LARRAÑAGA,657,546,29.9,1.66
FLOR DE MAROÑAS,657,554,30.3,1.66
CARRASCO,622,516,28.3,1.57
BELVEDERE,615,518,28.4,1.55
CIUDAD VIEJA,609,508,27.8,1.54
CASAVALLE,609,507,27.8,1.54
VILLA ESPAÑOLA,591,515,28.2,1.49
MANGA,582,486,26.6,1.47
BRAZO ORIENTAL,559,479,26.2,1.41
JARDINES DEL HIPODROMO,558,476,26.1,1.41
ITUZAINGO,550,475,26.0,1.39
CERRITO,540,454,24.9,1.36
NUEVO PARIS,512,439,24.0,1.29
VILLA MUÑOZ RETIRO,490,410,22.5,1.24
PUNTA CARRETAS,487,418,22.9,1.23
SAYAGO,470,410,22.5,1.19
PUNTA RIELES BELLA ITALIA,456,414,22.7,1.15
PUNTA GORDA,442,398,21.8,1.12
LAS ACACIAS,436,384,21.0,1.1
FIGURITA,436,384,21.0,1.1
LAS CANTERAS,430,380,20.8,1.09
BAÑADOS DE CARRASCO,425,374,20.5,1.07
CARRASCO NORTE,422,369,20.2,1.07
COLON SURESTE ABAYUBA,375,341,18.7,0.95
CONCILIACION,367,330,18.1,0.93
TRES OMBUES PBLO VICTORIA,358,324,17.7,0.9
CASABO PAJAS BLANCAS,357,322,17.6,0.9
REDUCTO,345,317,17.4,0.87
PASO DE LAS DURANAS,319,291,15.9,0.81
AIRES PUROS,308,282,15.4,0.78
ATAHUALPA,306,277,15.2,0.77
CASTRO CASTELLANOS,306,283,15.5,0.77
LA COMERCIAL,294,279,15.3,0.74
PARQUE RODO,283,253,13.9,0.72
MALVIN NORTE,270,253,13.9,0.68
PALERMO,261,242,13.3,0.66
JACINTO VERA,249,235,12.9,0.63
BARRIO SUR,241,225,12.3,0.61
LA BLANQUEADA,225,211,11.6,0.57
