fecha,nombre
2021-10-11,Día de la Diversidad Cultural
2021-11-02,Día de los Difuntos
2022-01-06,Día de los Niños
2022-02-28,Carnaval
2022-03-01,Carnaval
2022-04-11,Semana de Turismo
2022-04-12,Semana de Turismo
2022-04-13,Semana de Turismo
2022-04-14,Semana de Turismo
2022-04-15,Semana de Turismo
2022-04-18,Desembarco de los 33 Orientales
2022-05-16,Batalla de Las Piedras
2022-06-19,Natalicio de Artigas
2022-10-10,Día de la Diversidad Cultural
2022-11-02,Día de los Difuntos
2023-01-06,Día de los Niños
2023-02-20,Carnaval
2023-02-21,Carnaval
2023-04-03,Semana de Turismo
2023-04-04,Semana de Turismo
2023-04-05,Semana de Turismo
2023-04-06,Semana de Turismo
2023-04-07,Semana de Turismo
2023-04-17,Desembarco de los 33 Orientales
2023-05-22,Batalla de Las Piedras
2023-06-19,Natalicio de Artigas
2023-10-16,Día de la Diversidad Cultural
2023-11-02,Día de los Difuntos
2024-01-06,Día de los Niños
2024-02-12,Carnaval
2024-02-13,Carnaval
2024-03-25,Semana de Turismo
2024-03-26,Semana de Turismo
2024-03-27,Semana de Turismo
2024-03-28,Semana de Turismo
2024-03-29,Semana de Turismo
2024-04-22,Desembarco de los 33 Orientales
2024-05-18,Batalla de Las Piedras
2024-06-19,Natalicio de Artigas
2024-10-12,Día de la Diversidad Cultural
