celda_m,granularidad,zonas,periodos,filas_panel,pct_no_cero,media_por_fila,max_por_fila
500,diaria,18487,2922,54019014,0.405,0.0042,11
500,semanal,18487,418,7727566,2.537,0.0291,11
500,mensual,18487,96,1774752,8.274,0.1266,18
1000,diaria,11633,2922,33991626,0.616,0.0066,11
1000,semanal,11633,418,4862594,3.302,0.0462,14
1000,mensual,11633,96,1116768,8.975,0.2012,38
2000,diaria,6800,2922,19869600,0.951,0.0113,11
2000,semanal,6800,418,2842400,4.097,0.0791,22
2000,mensual,6800,96,652800,10.027,0.3442,71
5000,diaria,2894,2922,8456268,1.767,0.0266,13
5000,semanal,2894,418,1209692,6.185,0.1857,51
5000,mensual,2894,96,277824,14.373,0.8088,174
