rezago,acf,pacf,fuera_de_banda_95
0,1.0,,True
1,0.0785,0.0786,True
2,0.0078,0.0017,False
3,0.0242,0.0237,False
4,0.0332,0.0297,False
5,0.0004,-0.0047,False
6,0.0397,0.0397,False
7,0.0764,0.0698,True
8,-0.0179,-0.0307,False
9,-0.0042,-0.0024,False
10,-0.0079,-0.0129,False
11,-0.0095,-0.0115,False
12,0.0058,0.0085,False
13,0.0157,0.0099,False
14,0.1706,0.1699,True
15,0.0545,0.0348,True
16,-0.0407,-0.0511,False
17,-0.037,-0.0384,False
18,-0.0122,-0.02,False
19,0.0017,0.0025,False
20,0.0272,0.0201,False
21,0.1099,0.0892,True
22,-0.0009,-0.0072,False
23,-0.0017,0.0088,False
24,0.0209,0.0224,False
25,0.0099,0.0044,False
26,-0.0307,-0.0395,False
27,0.0387,0.0293,False
28,0.1125,0.0734,True
29,0.0682,0.0536,True
30,0.002,0.0066,False
