rezago,acf_cruda,acf_residuo,fuera_banda_cruda,fuera_banda_residuo
0,1.0,1.0,True,True
1,0.0785,0.0745,True,True
2,0.0078,0.0429,False,False
3,0.0242,0.0593,False,True
4,0.0332,0.0704,False,True
5,0.0004,0.0279,False,False
6,0.0397,0.0351,False,False
7,0.0764,-0.0329,True,False
8,-0.0179,-0.028,False,False
9,-0.0042,0.0331,False,False
10,-0.0079,0.0307,False,False
11,-0.0095,0.0226,False,False
12,0.0058,0.0444,False,False
13,0.0157,0.0046,False,False
14,0.1706,0.0658,True,True
15,0.0545,0.0412,True,False
16,-0.0407,-0.0102,False,False
17,-0.037,-0.0084,False,False
18,-0.0122,0.0074,False,False
19,0.0017,0.0377,False,False
20,0.0272,0.0226,False,False
21,0.1099,-0.0035,True,False
22,-0.0009,-0.0131,False,False
23,-0.0017,0.0483,False,False
24,0.0209,0.052,False,True
25,0.0099,0.05,False,True
26,-0.0307,0.0056,False,False
27,0.0387,0.0318,False,False
28,0.1125,-0.0029,True,False
29,0.0682,0.0626,True,True
30,0.002,0.037,False,False
