rezago,acf,pacf,fuera_de_banda_95
0,1.0,,True
1,0.0396,0.0396,False
2,0.0487,0.0472,True
3,0.0526,0.0491,True
4,0.055,0.0495,True
5,0.0031,-0.0053,False
6,0.0351,0.0282,False
7,0.0266,0.0196,False
8,0.0168,0.0101,False
9,0.047,0.0419,False
10,0.0229,0.0138,False
11,0.0316,0.0238,False
12,-0.0106,-0.0205,False
13,0.054,0.0464,True
14,0.0511,0.0451,True
15,0.0222,0.0113,False
16,0.0275,0.0175,False
17,-0.0005,-0.0161,False
18,0.0176,0.0088,False
19,0.0195,0.0127,False
20,0.0448,0.0362,False
21,0.0475,0.0421,False
22,-0.0179,-0.0345,False
23,0.0124,0.0006,False
24,0.0302,0.0188,False
25,0.0321,0.0263,False
26,-0.0155,-0.0211,False
27,0.0065,-0.0077,False
28,0.0529,0.0469,True
29,0.0683,0.059,True
30,0.0331,0.022,False
