rezago,acf_cruda,acf_residuo,fuera_banda_cruda,fuera_banda_residuo
0,1.0,1.0,True,True
1,0.0396,0.045,False,False
2,0.0487,0.0642,True,True
3,0.0526,0.0472,True,False
4,0.055,0.0549,True,True
5,0.0031,0.0195,False,False
6,0.0351,0.042,False,False
7,0.0266,0.0064,False,False
8,0.0168,0.0228,False,False
9,0.047,0.064,False,True
10,0.0229,0.0157,False,False
11,0.0316,0.0295,False,False
12,-0.0106,-0.0007,False,False
13,0.054,0.0589,True,True
14,0.0511,0.0265,True,False
15,0.0222,0.027,False,False
16,0.0275,0.0448,False,False
17,-0.0005,-0.0092,False,False
18,0.0176,0.0171,False,False
19,0.0195,0.0312,False,False
20,0.0448,0.0504,False,True
21,0.0475,0.022,False,False
22,-0.0179,-0.0046,False,False
23,0.0124,0.0327,False,False
24,0.0302,0.0277,False,False
25,0.0321,0.027,False,False
26,-0.0155,-0.0031,False,False
27,0.0065,0.0107,False,False
28,0.0529,0.0249,True,False
29,0.0683,0.0733,True,True
30,0.0331,0.0459,False,False
